,cluster_number,movie_title
0,37,Avatar 
1,37,Pirates of the Caribbean: At World's End 
2,12,Spectre 
3,1,The Dark Knight Rises 
4,7,Star Wars: Episode VII - The Force Awakens             
5,22,John Carter 
6,20,Tangled 
7,22,Avengers: Age of Ultron 
8,17,Harry Potter and the Half-Blood Prince 
9,22,Batman v Superman: Dawn of Justice 
10,22,Superman Returns 
11,12,Quantum of Solace 
12,37,Pirates of the Caribbean: Dead Man's Chest 
13,15,The Lone Ranger 
14,37,Man of Steel 
15,37,The Chronicles of Narnia: Prince Caspian 
16,37,Pirates of the Caribbean: On Stranger Tides 
17,37,Men in Black 3 
18,37,The Hobbit: The Battle of the Five Armies 
19,37,The Amazing Spider-Man 
20,28,Robin Hood 
21,37,The Hobbit: The Desolation of Smaug 
22,17,The Golden Compass 
23,23,Titanic 
24,22,Captain America: Civil War 
25,22,Battleship 
26,22,Jurassic World 
27,37,Spider-Man 2 
28,22,Iron Man 3 
29,37,X-Men: The Last Stand 
30,3,Monsters University 
31,22,Transformers: Revenge of the Fallen 
32,22,Transformers: Age of Extinction 
33,37,The Amazing Spider-Man 2 
34,33,Cars 2 
35,22,Green Lantern 
36,3,Toy Story 3 
37,22,Terminator Salvation 
38,25,Furious 7 
39,22,World War Z 
40,37,X-Men: Days of Future Past 
41,22,Star Trek Into Darkness 
42,37,Jack the Giant Slayer 
43,37,Prince of Persia: The Sands of Time 
44,22,Pacific Rim 
45,22,Transformers: Dark of the Moon 
46,37,Indiana Jones and the Kingdom of the Crystal Skull 
47,3,The Good Dinosaur 
48,3,Brave 
49,22,Star Trek Beyond 
50,33,WALL·E 
51,40,Rush Hour 3 
52,22,2012 
53,3,A Christmas Carol 
54,22,Jupiter Ascending 
55,17,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
56,22,X-Men: Apocalypse 
57,25,The Dark Knight 
58,33,Up 
59,33,Monsters vs. Aliens 
60,22,Iron Man 
61,17,Hugo 
62,15,Wild Wild West 
63,35,The Mummy: Tomb of the Dragon Emperor 
64,22,Suicide Squad 
65,42,Evan Almighty 
66,22,Edge of Tomorrow 
67,22,Waterworld 
68,22,G.I. Joe: The Rise of Cobra 
69,3,Inside Out 
70,22,Iron Man 2 
71,37,Snow White and the Huntsman 
72,37,Maleficent 
73,22,Dawn of the Planet of the Apes 
74,37,47 Ronin 
75,22,Captain America: The Winter Soldier 
76,3,Shrek Forever After 
77,22,Tomorrowland 
78,33,Big Hero 6 
79,33,Wreck-It Ralph 
80,3,The Polar Express 
81,22,Independence Day: Resurgence 
82,3,How to Train Your Dragon 
83,41,Terminator 3: Rise of the Machines 
84,22,Guardians of the Galaxy 
85,22,Interstellar 
86,22,Inception 
87,37,The Hobbit: An Unexpected Journey 
88,24,The Curious Case of Benjamin Button 
89,22,X-Men: First Class 
90,22,The Hunger Games: Mockingjay - Part 2 
91,37,The Sorcerer's Apprentice 
92,12,Poseidon 
93,17,Alice Through the Looking Glass 
94,3,Shrek the Third 
95,37,Warcraft 
96,22,Terminator Genisys 
97,17,The Chronicles of Narnia: The Voyage of the Dawn Treader 
98,10,Pearl Harbor 
99,22,Transformers 
100,10,Alexander 
101,17,Harry Potter and the Order of the Phoenix 
102,17,Harry Potter and the Goblet of Fire 
103,1,Hancock 
104,34,I Am Legend 
105,17,Charlie and the Chocolate Factory 
106,3,Ratatouille 
107,12,Batman Begins 
108,33,Madagascar: Escape 2 Africa 
109,17,Night at the Museum: Battle of the Smithsonian 
110,37,X-Men Origins: Wolverine 
111,41,The Matrix Revolutions 
112,20,Frozen 
113,41,The Matrix Reloaded 
114,37,Thor: The Dark World 
115,22,Mad Max: Fury Road 
116,8,Angels & Demons 
117,37,Thor 
118,33,Bolt 
119,3,G-Force 
120,37,Wrath of the Titans 
121,35,Dark Shadows 
122,12,Mission: Impossible - Rogue Nation 
123,35,The Wolfman 
124,12,The Legend of Tarzan 
125,33,Bee Movie 
126,33,Kung Fu Panda 2 
127,17,The Last Airbender 
128,12,Mission: Impossible III 
129,1,White House Down 
130,33,Mars Needs Moms 
131,33,Flushed Away 
132,33,Mr. Peabody & Sherman 
133,12,Troy 
134,33,Madagascar 3: Europe's Most Wanted 
135,12,Die Another Day 
136,22,Armageddon 
137,17,Men in Black II 
138,3,Beowulf 
139,33,Kung Fu Panda 3 
140,12,Mission: Impossible - Ghost Protocol 
141,3,Rise of the Guardians 
142,38,Fun with Dick and Jane 
143,10,The Last Samurai 
144,22,Star Trek 
145,37,Spider-Man 
146,3,How to Train Your Dragon 2 
147,37,Gods of Egypt 
148,22,Stealth 
149,8,Watchmen 
150,25,Lethal Weapon 4 
151,41,Hulk 
152,22,G.I. Joe: Retaliation 
153,12,Sahara 
154,3,Final Fantasy: The Spirits Within 
155,22,Captain America: The First Avenger 
