,cluster_number,movie_title
0,11,Avatar 
1,11,Pirates of the Caribbean: At World's End 
2,0,Spectre 
3,0,The Dark Knight Rises 
4,4,Star Wars: Episode VII - The Force Awakens             
5,34,John Carter 
7,37,Tangled 
8,34,Avengers: Age of Ultron 
9,10,Harry Potter and the Half-Blood Prince 
10,34,Batman v Superman: Dawn of Justice 
11,34,Superman Returns 
12,5,Quantum of Solace 
13,11,Pirates of the Caribbean: Dead Man's Chest 
14,27,The Lone Ranger 
15,11,Man of Steel 
16,11,The Chronicles of Narnia: Prince Caspian 
18,11,Pirates of the Caribbean: On Stranger Tides 
19,11,Men in Black 3 
20,11,The Hobbit: The Battle of the Five Armies 
21,11,The Amazing Spider-Man 
22,30,Robin Hood 
23,11,The Hobbit: The Desolation of Smaug 
24,10,The Golden Compass 
26,22,Titanic 
27,34,Captain America: Civil War 
28,34,Battleship 
29,34,Jurassic World 
31,11,Spider-Man 2 
32,34,Iron Man 3 
34,11,X-Men: The Last Stand 
35,1,Monsters University 
36,34,Transformers: Revenge of the Fallen 
37,34,Transformers: Age of Extinction 
39,11,The Amazing Spider-Man 2 
41,1,Cars 2 
42,34,Green Lantern 
43,1,Toy Story 3 
44,34,Terminator Salvation 
45,32,Furious 7 
46,26,World War Z 
47,11,X-Men: Days of Future Past 
48,34,Star Trek Into Darkness 
49,11,Jack the Giant Slayer 
51,11,Prince of Persia: The Sands of Time 
52,34,Pacific Rim 
53,34,Transformers: Dark of the Moon 
54,11,Indiana Jones and the Kingdom of the Crystal Skull 
55,1,The Good Dinosaur 
56,1,Brave 
57,34,Star Trek Beyond 
58,1,WALL·E 
59,32,Rush Hour 3 
60,34,2012 
61,1,A Christmas Carol 
62,34,Jupiter Ascending 
64,10,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
65,34,X-Men: Apocalypse 
66,32,The Dark Knight 
67,1,Up 
68,1,Monsters vs. Aliens 
69,34,Iron Man 
70,10,Hugo 
71,27,Wild Wild West 
72,11,The Mummy: Tomb of the Dragon Emperor 
73,34,Suicide Squad 
74,10,Evan Almighty 
75,34,Edge of Tomorrow 
76,34,Waterworld 
77,34,G.I. Joe: The Rise of Cobra 
78,1,Inside Out 
80,34,Iron Man 2 
81,11,Snow White and the Huntsman 
82,10,Maleficent 
83,34,Dawn of the Planet of the Apes 
85,11,47 Ronin 
86,34,Captain America: The Winter Soldier 
87,1,Shrek Forever After 
88,34,Tomorrowland 
89,1,Big Hero 6 
90,1,Wreck-It Ralph 
91,1,The Polar Express 
92,34,Independence Day: Resurgence 
93,1,How to Train Your Dragon 
94,34,Terminator 3: Rise of the Machines 
95,34,Guardians of the Galaxy 
96,24,Interstellar 
97,34,Inception 
99,11,The Hobbit: An Unexpected Journey 
101,22,The Curious Case of Benjamin Button 
102,34,X-Men: First Class 
103,24,The Hunger Games: Mockingjay - Part 2 
104,10,The Sorcerer's Apprentice 
105,0,Poseidon 
106,10,Alice Through the Looking Glass 
107,1,Shrek the Third 
108,11,Warcraft 
109,34,Terminator Genisys 
110,10,The Chronicles of Narnia: The Voyage of the Dawn Treader 
111,12,Pearl Harbor 
112,34,Transformers 
113,12,Alexander 
114,10,Harry Potter and the Order of the Phoenix 
115,10,Harry Potter and the Goblet of Fire 
116,5,Hancock 
117,26,I Am Legend 
118,10,Charlie and the Chocolate Factory 
119,1,Ratatouille 
120,5,Batman Begins 
121,1,Madagascar: Escape 2 Africa 
122,10,Night at the Museum: Battle of the Smithsonian 
123,11,X-Men Origins: Wolverine 
124,34,The Matrix Revolutions 
125,37,Frozen 
126,34,The Matrix Reloaded 
127,11,Thor: The Dark World 
128,34,Mad Max: Fury Road 
129,17,Angels & Demons 
130,11,Thor 
131,1,Bolt 
132,1,G-Force 
133,11,Wrath of the Titans 
134,29,Dark Shadows 
135,0,Mission: Impossible - Rogue Nation 
136,29,The Wolfman 
137,5,The Legend of Tarzan 
138,1,Bee Movie 
139,1,Kung Fu Panda 2 
140,10,The Last Airbender 
141,0,Mission: Impossible III 
142,0,White House Down 
143,1,Mars Needs Moms 
144,1,Flushed Away 
146,1,Mr. Peabody & Sherman 
147,2,Troy 
148,1,Madagascar 3: Europe's Most Wanted 
149,0,Die Another Day 
151,34,Armageddon 
152,11,Men in Black II 
153,1,Beowulf 
154,1,Kung Fu Panda 3 
155,0,Mission: Impossible - Ghost Protocol 
156,1,Rise of the Guardians 
157,19,Fun with Dick and Jane 
158,12,The Last Samurai 
160,34,Star Trek 
161,11,Spider-Man 
162,1,How to Train Your Dragon 2 
163,11,Gods of Egypt 
164,34,Stealth 
165,17,Watchmen 
166,32,Lethal Weapon 4 
167,34,Hulk 
168,34,G.I. Joe: Retaliation 
169,0,Sahara 
170,1,Final Fantasy: The Spirits Within 
171,34,Captain America: The First Avenger 
172,0,The World Is Not Enough 
173,12,Master and Commander: The Far Side of the World 
175,37,Happy Feet 2 
176,34,The Incredible Hulk 
177,17,Miami Vice             
178,10,The BFG 
179,27,The Revenant 
180,1,Turbo 
181,27,Rango 
182,1,Penguins of Madagascar 
183,17,The Bourne Ultimatum 
184,1,Kung Fu Panda 
185,34,Ant-Man 
186,24,The Hunger Games: Catching Fire 
187,11,The Twilight Saga: Breaking Dawn - Part 2 
189,24,War of the Worlds 
190,32,Bad Boys II 
191,1,Puss in Boots 
192,17,Salt 
193,5,Noah 
194,10,The Adventures of Tintin 
195,10,Harry Potter and the Prisoner of Azkaban 
196,31,Australia 
197,34,After Earth 
198,1,Dinosaur 
199,11,Harry Potter and the Deathly Hallows: Part II 
200,10,Night at the Museum: Secret of the Tomb 
201,1,Megamind 
202,10,Harry Potter and the Sorcerer's Stone 
203,11,R.I.P.D. 
204,26,Godzilla Resurgence 
205,11,Pirates of the Caribbean: The Curse of the Black Pearl 
206,29,Harry Potter and the Deathly Hallows: Part I 
207,24,The Hunger Games: Mockingjay - Part 1 
208,17,The Da Vinci Code 
209,37,Rio 2 
210,11,X-Men 2 
211,32,Fast Five 
212,17,Sherlock Holmes: A Game of Shadows 
215,30,The 13th Warrior 
216,0,The Bourne Legacy 
217,5,Batman & Robin 
218,10,How the Grinch Stole Christmas 
219,34,The Day After Tomorrow 
220,0,Mission: Impossible II 
221,0,The Perfect Storm 
222,34,Fantastic 4: Rise of the Silver Surfer 
223,11,Life of Pi 
224,11,Ghost Rider 
225,0,Jason Bourne 
226,19,Charlie's Angels: Full Throttle 
227,24,Prometheus 
228,1,Stuart Little 2 
229,34,Elysium 
230,34,The Chronicles of Riddick 
232,23,Speed Racer 
233,3,How Do You Know 
234,3,Knight and Day 
